run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR12481289,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975178,P09,P09,metagenome,WGS,SINGLE,SRS7230614,,PRJNA657696,Ion Torrent S5,1238023574,Environment,Leachate,India: Gujarat,22.9828 N 72.5650 E,,,Other
SRR12481290,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975177,P08,P08,metagenome,WGS,SINGLE,SRS7230613,,PRJNA657696,Ion Torrent S5,1172577326,Environment,soil sample,India: Gujarat,22.9828 N 72.5650 E,,,Other
SRR12481292,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975175,P06,P06,metagenome,WGS,SINGLE,SRS7230612,,PRJNA657696,Ion Torrent S5,1698047630,Environment,Leachate,India: Gujarat,22.9828 N 72.5650 E,,,Other
SRR12481293,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975174,P05,P05,metagenome,WGS,SINGLE,SRS7230609,,PRJNA657696,Ion Torrent S5,1188691968,Environment,soil sample,India: Gujarat,22.9828 N 72.5650 E,,,Other
SRR12481294,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975173,P04,P04,metagenome,WGS,SINGLE,SRS7230610,,PRJNA657696,Ion Torrent S5,1227397703,Environment,soil sample,India: Gujarat,22.9828 N 72.5650 E,,,Other
SRR12481295,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975172,P03,P03,metagenome,WGS,SINGLE,SRS7230608,,PRJNA657696,Ion Torrent S5,1217792916,Environment,soil sample,India: Gujarat,22.9828 N 72.5650 E,,,Other
SRR12481296,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975171,P02,P02,metagenome,WGS,SINGLE,SRS7230607,,PRJNA657696,Ion Torrent S5,1433110971,Environment,Leachate,India: Gujarat,22.9828 N 72.5650 E,,,Other
SRR12481297,SRP278168,Whole metagenome sequencing from municipal waste landfill sites Metagenome,SRX8975170,P01,P01,metagenome,WGS,SINGLE,SRS7230606,,PRJNA657696,Ion Torrent S5,1649938176,Environment,soil sample,India: Gujarat,22.9828 N 72.5650 E,,,Other
