run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR23377250,SRP421592,East Rathong Glacier Metagenome,SRX19317868,Soil Metagenome-2,Soil Metagenome-2,glacier metagenome,WGS,PAIRED,SRS16716430,,PRJNA932945,Illumina MiSeq,10514651448,Glacier soil-2,India: East Rathong Glacier,27.36 N 88.08 E,,,Other
SRR23377251,SRP421592,East Rathong Glacier Metagenome,SRX19317867,Soil Metagenome-1,Soil Metagenome-1,glacier metagenome,WGS,PAIRED,SRS16716429,,PRJNA932945,Illumina MiSeq,7995583757,Glacier soil-1,India: East Rathong Glacier,27.33 N 88.04 E,,,Other
