run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,ref_biomaterial,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR22195396,SRP406350,Metagenome of Borra Caves (India) microbiome,SRX18173716,Borra Cave speleothem microbiome,Borra Cave speleothem microbiome,cave metagenome,WGS,PAIRED,SRS15672939,,PRJNA898384,Illumina NovaSeq 6000,9628427722,Not applicable,Surface of speleothems,"India: Borra Caves, Andhra Pradesh",18.2807 N 83.0397 E,Not applicable,Not applicable,Sterile cotton swabs,Not applicable,40 swabs,Not applicable,,,Terrestrial/ soil
SRR25014987,SRP406350,Metagenome of Borra Caves (India) microbiome,SRX20770117,Cave metagenome,Cave metagenome,cave metagenome,WGS,PAIRED,SRS15672939,,PRJNA898384,Illumina NovaSeq 6000,10190026620,Not applicable,Surface of speleothems,"India: Borra Caves, Andhra Pradesh",18.2807 N 83.0397 E,Not applicable,Not applicable,Sterile cotton swabs,Not applicable,40 swabs,Not applicable,,,Terrestrial/ soil
