run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR9108961,SRP199213,Human gut metagenome Metagenome,SRX5883447,Human gut metagenome of sample Khargone 10,Human gut metagenome of sample Khargone 10,human gut metagenome,WGS,PAIRED,SRS4805977,,PRJNA531203,Illumina HiSeq 2500,6787926000,Homo sapiens,Human stool,"India: Khargone, Madhya Pradesh",22.226704 N 75.863329 E,,,Host human
SRR9108962,SRP199213,Human gut metagenome Metagenome,SRX5883446,Human gut metagenome of sample Khargone 9,Human gut metagenome of sample Khargone 9,human gut metagenome,WGS,PAIRED,SRS4805976,,PRJNA531203,Illumina HiSeq 2500,7563499500,Homo sapiens,Human stool,"India: Khargone, Madhya Pradesh",22.226704 N 75.863329 E,,,Host human
SRR9108963,SRP199213,Human gut metagenome Metagenome,SRX5883445,Human gut metagenome of sample Ladakh 7,Human gut metagenome of sample Ladakh 7,human gut metagenome,WGS,PAIRED,SRS4805975,,PRJNA531203,Illumina HiSeq 1000,11135057382,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108964,SRP199213,Human gut metagenome Metagenome,SRX5883444,Human gut metagenome of sample Ladakh 8,Human gut metagenome of sample Ladakh 8,human gut metagenome,WGS,PAIRED,SRS4805974,,PRJNA531203,Illumina HiSeq 1000,9619781454,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108965,SRP199213,Human gut metagenome Metagenome,SRX5883443,Human gut metagenome of sample Ladakh 5,Human gut metagenome of sample Ladakh 5,human gut metagenome,WGS,PAIRED,SRS4805973,,PRJNA531203,Illumina HiSeq 1000,10624777698,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108966,SRP199213,Human gut metagenome Metagenome,SRX5883442,Human gut metagenome of sample Ladakh 6,Human gut metagenome of sample Ladakh 6,human gut metagenome,WGS,PAIRED,SRS4805972,,PRJNA531203,Illumina HiSeq 1000,11452082312,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108967,SRP199213,Human gut metagenome Metagenome,SRX5883441,Human gut metagenome of sample Ladakh 3,Human gut metagenome of sample Ladakh 3,human gut metagenome,WGS,PAIRED,SRS4805971,,PRJNA531203,Illumina HiSeq 1000,10397310962,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108968,SRP199213,Human gut metagenome Metagenome,SRX5883440,Human gut metagenome of sample Ladakh 4,Human gut metagenome of sample Ladakh 4,human gut metagenome,WGS,PAIRED,SRS4805970,,PRJNA531203,Illumina HiSeq 1000,13362042715,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108969,SRP199213,Human gut metagenome Metagenome,SRX5883439,Human gut metagenome of sample Ladakh 1-2,Human gut metagenome of sample Ladakh 1-2,human gut metagenome,WGS,PAIRED,SRS4805969,,PRJNA531203,Illumina HiSeq 1000,10570140618,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108970,SRP199213,Human gut metagenome Metagenome,SRX5883438,Human gut metagenome of sample Ladakh 2,Human gut metagenome of sample Ladakh 2,human gut metagenome,WGS,PAIRED,SRS4805968,,PRJNA531203,Illumina HiSeq 1000,9350537516,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108971,SRP199213,Human gut metagenome Metagenome,SRX5883437,Human gut metagenome of sample Jaisalmer 9,Human gut metagenome of sample Jaisalmer 9,human gut metagenome,WGS,PAIRED,SRS4805967,,PRJNA531203,Illumina HiSeq 2500,6808990200,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
SRR9108972,SRP199213,Human gut metagenome Metagenome,SRX5883436,Human gut metagenome of sample Jaisalmer 10,Human gut metagenome of sample Jaisalmer 10,human gut metagenome,WGS,PAIRED,SRS4805966,,PRJNA531203,Illumina HiSeq 2500,8096786700,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
