run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,aliquot,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR10084825,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817800,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361362,,PRJNA564397,Illumina HiSeq 3000,3247649400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,36,,,Host human
SRR10084826,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817799,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361361,,PRJNA564397,Illumina HiSeq 3000,2796806100,Homo sapiens,fecal sample,India,21.14 N 79.08 E,35,,,Host human
SRR10084827,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817798,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361360,,PRJNA564397,Illumina HiSeq 3000,2861047200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,34,,,Host human
SRR10084828,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817797,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361359,,PRJNA564397,Illumina HiSeq 3000,2986408200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,33,,,Host human
SRR10084829,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817796,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361358,,PRJNA564397,Illumina HiSeq 3000,2426445000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,32,,,Host human
SRR10084830,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817795,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361357,,PRJNA564397,Illumina HiSeq 3000,2852078400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,31,,,Host human
SRR10084831,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817794,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361356,,PRJNA564397,Illumina HiSeq 3000,3014077200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,4,,,Host human
SRR10084832,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817793,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361355,,PRJNA564397,Illumina HiSeq 3000,2963084700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,30,,,Host human
SRR10084833,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817792,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361354,,PRJNA564397,Illumina HiSeq 3000,2877982200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,29,,,Host human
SRR10084834,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817791,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361353,,PRJNA564397,Illumina HiSeq 3000,3332617500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,28,,,Host human
SRR10084835,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817790,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361352,,PRJNA564397,Illumina HiSeq 3000,2954261100,Homo sapiens,fecal sample,India,21.14 N 79.08 E,27,,,Host human
SRR10084836,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817789,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361351,,PRJNA564397,Illumina HiSeq 3000,3033149400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,26,,,Host human
SRR10084837,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817788,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361350,,PRJNA564397,Illumina HiSeq 3000,2548733700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,25,,,Host human
SRR10084838,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817787,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361349,,PRJNA564397,Illumina HiSeq 3000,3306169500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,24,,,Host human
SRR10084839,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817786,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361348,,PRJNA564397,Illumina HiSeq 3000,2728773000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,23,,,Host human
SRR10084840,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817785,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361347,,PRJNA564397,Illumina HiSeq 3000,3214086600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,22,,,Host human
SRR10084841,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817784,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361346,,PRJNA564397,Illumina HiSeq 3000,3388855800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,21,,,Host human
SRR10084842,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817783,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361345,,PRJNA564397,Illumina HiSeq 3000,2856273000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,3,,,Host human
SRR10084843,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817782,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361344,,PRJNA564397,Illumina HiSeq 3000,3039328500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,20,,,Host human
SRR10084844,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817781,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361343,,PRJNA564397,Illumina HiSeq 3000,2908129500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,19,,,Host human
SRR10084845,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817780,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361342,,PRJNA564397,Illumina HiSeq 3000,2066891700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,18,,,Host human
SRR10084846,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817779,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361341,,PRJNA564397,Illumina HiSeq 3000,3298794000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,17,,,Host human
SRR10084847,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817778,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361340,,PRJNA564397,Illumina HiSeq 3000,4145432700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,16,,,Host human
SRR10084848,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817777,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361339,,PRJNA564397,Illumina HiSeq 3000,4306477500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,15,,,Host human
SRR10084849,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817776,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361338,,PRJNA564397,Illumina HiSeq 3000,3128831400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,14,,,Host human
SRR10084850,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817775,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361337,,PRJNA564397,Illumina HiSeq 3000,2810005200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,13,,,Host human
SRR10084851,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817774,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361336,,PRJNA564397,Illumina HiSeq 3000,3181390200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,12,,,Host human
SRR10084852,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817773,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361335,,PRJNA564397,Illumina HiSeq 3000,1636206900,Homo sapiens,fecal sample,India,21.14 N 79.08 E,112,,,Host human
SRR10084853,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817772,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361334,,PRJNA564397,Illumina HiSeq 3000,2752687200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,111,,,Host human
SRR10084854,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817771,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361333,,PRJNA564397,Illumina HiSeq 3000,9955831800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,110,,,Host human
SRR10084855,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817770,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361332,,PRJNA564397,Illumina HiSeq 3000,4048260600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,109,,,Host human
SRR10084856,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817769,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361331,,PRJNA564397,Illumina HiSeq 3000,11427363000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,108,,,Host human
SRR10084857,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817768,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361330,,PRJNA564397,Illumina HiSeq 3000,10923315600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,107,,,Host human
SRR10084858,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817767,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361329,,PRJNA564397,Illumina HiSeq 3000,9195094800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,106,,,Host human
SRR10084859,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817766,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361328,,PRJNA564397,Illumina HiSeq 3000,2520564000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,11,,,Host human
SRR10084860,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817765,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361327,,PRJNA564397,Illumina HiSeq 3000,2767765500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,2,,,Host human
SRR10084861,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817764,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361326,,PRJNA564397,Illumina HiSeq 3000,3115523100,Homo sapiens,fecal sample,India,21.14 N 79.08 E,1,,,Host human
