run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,aliquot,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR10084770,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817855,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361417,,PRJNA564397,Illumina HiSeq 3000,3099359700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,88,,,Host human
SRR10084771,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817854,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361416,,PRJNA564397,Illumina HiSeq 3000,3145833600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,87,,,Host human
SRR10084772,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817853,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361415,,PRJNA564397,Illumina HiSeq 3000,2990812200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,86,,,Host human
SRR10084773,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817852,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361414,,PRJNA564397,Illumina HiSeq 3000,3811552800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,85,,,Host human
SRR10084774,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817851,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361413,,PRJNA564397,Illumina HiSeq 3000,3294430800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,84,,,Host human
SRR10084775,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817850,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361412,,PRJNA564397,Illumina HiSeq 3000,3051204300,Homo sapiens,fecal sample,India,21.14 N 79.08 E,83,,,Host human
SRR10084776,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817849,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361411,,PRJNA564397,Illumina HiSeq 3000,2902033800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,9,,,Host human
SRR10084777,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817848,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361410,,PRJNA564397,Illumina HiSeq 3000,3063761700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,82,,,Host human
SRR10084778,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817847,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361409,,PRJNA564397,Illumina HiSeq 3000,3208838400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,81,,,Host human
SRR10084779,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817846,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361408,,PRJNA564397,Illumina HiSeq 3000,3224189400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,80,,,Host human
SRR10084780,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817845,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361407,,PRJNA564397,Illumina HiSeq 3000,3565839000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,79,,,Host human
