run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR32786231,SRP571833,Dairy waste water,SRX28070396,Dairy waste water,Dairy waste water,wastewater metagenome,WGS,SINGLE,SRS24429621,,PRJNA1238483,PromethION,5489831334,water sample,environmental sample,"India: Mayurbhanj, Odisha",not applicable,,,Built/ Engineered/ Industrial
SRR38810303,SRP571833,Dairy waste water,SRX33587087,Dairy waste water collected from Kendrapada,Dairy waste water collected from Kendrapada,wastewater metagenome,WGS,SINGLE,SRS29280835,,PRJNA1238483,PromethION,3483653963,Not applicable,dairy wastewater,"India: Kendrapada, Odisha",not determined,,,Built/ Engineered/ Industrial
