run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,alias,description,ena checklist,insdc center name,sra accession,sample name,title,collection date,environment (biome),environment (feature),environment (material),geographic location (country and/or sea),geographic location (depth),geographic location (latitude),geographic location (longitude),investigation type,project name,sequencing method,water environmental package,geographic location (elevation),Environment_Broad_Scale,Specific_Environment,Broader Category
ERR1846294,ERP021546,Manikaran hot springs water metagenome,ERX1908271,Illumina Genome Analyzer II sequencing,Illumina Genome Analyzer II sequencing,hot springs metagenome,WGS,SINGLE,ERS1563791,,PRJEB19501,Illumina Genome Analyzer II,4745361060,MNW1,"Water sample collected from a geothermal spring located in Manikaran, Himachal Pradesh, India.",ERC000024,UNIVERSITY OF DELHI,ERS1563791,ERS1563791,MNW1,2012-06-12,Aquatic biome,Geographical feature,Water,India,5,32.026333,77.347306,metagenome,Manikaran Metagenomics,Illumina,water,1760,,,Extreme environment
ERR1846295,ERP021546,Manikaran hot springs water metagenome,ERX1908272,Illumina Genome Analyzer II sequencing,Illumina Genome Analyzer II sequencing,hot springs metagenome,WGS,SINGLE,ERS1563792,,PRJEB19501,Illumina Genome Analyzer II,4783029480,MNW2,"Water sample collected from a geothermal spring located at Manikaran, Himachal Pradesh, India",ERC000024,UNIVERSITY OF DELHI,ERS1563792,ERS1563792,MNW2,2012-12-06,Aquatic biome,Water,Water,India,5,32.026333,77.347306,metagenome,Manikaran metagenome,Illumina,water,,,,Extreme environment
