run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR24762751,SRP440143,Chumathang Hot Spring- Water and soil sample Metagenome,SRX20538030,Metagenomic study of Chumathang hot spring soil sample (CuSo),Metagenomic study of Chumathang hot spring soil sample (CuSo),soil metagenome,WGS,PAIRED,SRS17872963,,PRJNA977415,Illumina NovaSeq 6000,11478453270,Water and soil sample,"India: Ladakh, Chumathang hot spring",33.3606 N 78.3575 E,,,Terrestrial/ soil
SRR24762752,SRP440143,Chumathang Hot Spring- Water and soil sample Metagenome,SRX20538029,Metagenomic study of Chumathang hot spring water sample (CuW),Metagenomic study of Chumathang hot spring water sample (CuW),soil metagenome,WGS,PAIRED,SRS17872963,,PRJNA977415,Illumina NovaSeq 6000,8124580410,Water and soil sample,"India: Ladakh, Chumathang hot spring",33.3606 N 78.3575 E,,,Terrestrial/ soil
