run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id,replicate,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR29517028,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027268,"Metagenome: cattle rumen fluid, replicate 1","Metagenome: cattle rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS21726626,,PRJNA1126025,Illumina HiSeq 2500,8229871783,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA19,replicate = biological replicate1,,,"Host human, Host animal and insect"
SRR29517029,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027267,"Metagenome: cattle rumen fluid, replicate 6","Metagenome: cattle rumen fluid, replicate 6",bovine gut metagenome,WGS,PAIRED,SRS21726625,,PRJNA1126025,Illumina HiSeq 2500,8513273394,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA18,replicate = biological replicate6,,,"Host human, Host animal and insect"
SRR29517030,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027266,"Metagenome: cattle rumen fluid, replicate 5","Metagenome: cattle rumen fluid, replicate 5",bovine gut metagenome,WGS,PAIRED,SRS21726624,,PRJNA1126025,Illumina HiSeq 2500,7739895176,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA17,replicate = biological replicate5,,,"Host human, Host animal and insect"
SRR29517031,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027265,"Metagenome: cattle rumen fluid, replicate 4","Metagenome: cattle rumen fluid, replicate 4",bovine gut metagenome,WGS,PAIRED,SRS21726623,,PRJNA1126025,Illumina HiSeq 2500,7408099383,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA16,replicate = biological replicate4,,,"Host human, Host animal and insect"
SRR29517032,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027264,"Metagenome: cattle rumen fluid, replicate 3","Metagenome: cattle rumen fluid, replicate 3",bovine gut metagenome,WGS,PAIRED,SRS21726622,,PRJNA1126025,Illumina HiSeq 2500,7913649786,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA15,replicate = biological replicate3,,,"Host human, Host animal and insect"
SRR29517033,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027263,"Metagenome: cattle rumen fluid, replicate 2","Metagenome: cattle rumen fluid, replicate 2",bovine gut metagenome,WGS,PAIRED,SRS21726621,,PRJNA1126025,Illumina HiSeq 2500,8679782175,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA14,replicate = biological replicate2,,,"Host human, Host animal and insect"
SRR29517034,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027262,"Metagenome: cattle rumen fluid, replicate 1","Metagenome: cattle rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS21726620,,PRJNA1126025,Illumina HiSeq 2500,7631022409,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA13,replicate = biological replicate1,,,"Host human, Host animal and insect"
SRR29517035,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027261,"Metagenome: cattle rumen fluid, replicate 6","Metagenome: cattle rumen fluid, replicate 6",bovine gut metagenome,WGS,PAIRED,SRS21726619,,PRJNA1126025,Illumina HiSeq 2500,8638921541,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA12,replicate = biological replicate6,,,"Host human, Host animal and insect"
SRR29517036,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027260,"Metagenome: cattle rumen fluid, replicate 5","Metagenome: cattle rumen fluid, replicate 5",bovine gut metagenome,WGS,PAIRED,SRS21726618,,PRJNA1126025,Illumina HiSeq 2500,8620413609,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA11,replicate = biological replicate5,,,"Host human, Host animal and insect"
SRR29517037,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027259,"Metagenome: cattle rumen fluid, replicate 2","Metagenome: cattle rumen fluid, replicate 2",bovine gut metagenome,WGS,PAIRED,SRS21726617,,PRJNA1126025,Illumina HiSeq 2500,2963491399,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA2,replicate = biological replicate2,,,"Host human, Host animal and insect"
SRR29517038,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027258,"Metagenome: cattle rumen fluid, replicate 1","Metagenome: cattle rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS21726616,,PRJNA1126025,Illumina HiSeq 2500,3029514623,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA1,replicate = biological replicate1,,,"Host human, Host animal and insect"
