run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR8830666,SRP190006,Metagenome anlysis of kinema,SRX5618977,Metagenomics,Metagenomics,metagenome,WGS,PAIRED,SRS4562502,,PRJNA529966,Illumina HiSeq 2500,1706711100,Soybean,"Sikkim, North east",India,27.327416 N 88.617612 E,,,Other
SRR8830667,SRP190006,Metagenome anlysis of kinema,SRX5618976,Metagenomics,Metagenomics,metagenome,WGS,PAIRED,SRS4562501,,PRJNA529966,Illumina HiSeq 2500,1283138100,Soybean,"Sikkim, North east",India,27.327416 N 88.617612 E,,,Other
SRR8830668,SRP190006,Metagenome anlysis of kinema,SRX5618975,Metagenomics,Metagenomics,metagenome,WGS,PAIRED,SRS4562503,,PRJNA529966,Illumina HiSeq 2500,1804171500,Soybean,"Sikkim, North east",India,27.327416 N 88.617612 E,,,Other
SRR8830669,SRP190006,Metagenome anlysis of kinema,SRX5618974,Metagenomics,Metagenomics,metagenome,WGS,PAIRED,SRS4562500,,PRJNA529966,Illumina HiSeq 2500,3675480900,Soybean,"Sikkim, North east",India,27.327416 N 88.617612 E,,,Other
