run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR24760245,SRP440085,"Metagenomic study of water , sediments and soil samples of Puga geothermal geyser",SRX20535539,Metagenomic study of soil sample(PugSo) of Puga geothermal geyser,Metagenomic study of soil sample(PugSo) of Puga geothermal geyser,soil metagenome,WGS,PAIRED,SRS17869015,,PRJNA977122,Illumina NovaSeq 6000,14665520820,"Water , Sediment and Soil samples of Puga geothermal geyser","India: Ladakh, Puga Geothermal geyser",33.2231 N 78.3150 E,,,Terrestrial/ soil
SRR24760246,SRP440085,"Metagenomic study of water , sediments and soil samples of Puga geothermal geyser",SRX20535538,Metagenomic study of sediment sample(PugS) of Puga geothermal geyser,Metagenomic study of sediment sample(PugS) of Puga geothermal geyser,soil metagenome,WGS,PAIRED,SRS17869015,,PRJNA977122,Illumina NovaSeq 6000,12993340716,"Water , Sediment and Soil samples of Puga geothermal geyser","India: Ladakh, Puga Geothermal geyser",33.2231 N 78.3150 E,,,Terrestrial/ soil
SRR24760247,SRP440085,"Metagenomic study of water , sediments and soil samples of Puga geothermal geyser",SRX20535537,Metagenomic study of water sample(PugW) of Puga geothermal geyser,Metagenomic study of water sample(PugW) of Puga geothermal geyser,soil metagenome,WGS,PAIRED,SRS17869015,,PRJNA977122,Illumina NovaSeq 6000,16102728498,"Water , Sediment and Soil samples of Puga geothermal geyser","India: Ladakh, Puga Geothermal geyser",33.2231 N 78.3150 E,,,Terrestrial/ soil
