run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,ena first public,ena last update,insdc center alias,insdc center name,broker name,collected by,collection date,environmental sample,geographic location (country and/or sea),is the sequenced pathogen host associated?,isolate,isolation source non-host-associated,sample name,strain,geographic location (latitude),geographic location (longitude),Environment_Broad_Scale,Specific_Environment,Broader Category
ERR4682821,ERP124493,Global surveillance of antimicrobial resistance - batch June 2018,ERX4604270,Illumina NovaSeq 6000 paired end sequencing,Illumina NovaSeq 6000 paired end sequencing,wastewater metagenome,WGS,PAIRED,ERS5186678,,PRJEB40816,Illumina NovaSeq 6000,14154035621,24-06-2021,24-06-2021,DTU-GE,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark",Centre for Genomic Epidemiology,Global sewage consortium,04-07-2018,Yes,India,No,DTU_2018_698_1_MG_IN_KO_387,wastewater,DTU_2018_698_1_MG_IN_KO_387,DTU_2018_698_1_MG_IN_KO_387,,,,,Built/ Engineered/ Industrial
ERR4682837,ERP124493,Global surveillance of antimicrobial resistance - batch June 2018,ERX4604286,Illumina NovaSeq 6000 paired end sequencing,Illumina NovaSeq 6000 paired end sequencing,wastewater metagenome,WGS,PAIRED,ERS5186694,,PRJEB40816,Illumina NovaSeq 6000,14294540605,24-06-2021,24-06-2021,DTU-GE,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark",Centre for Genomic Epidemiology,Global sewage consortium,18-06-2018,Yes,India,No,DTU_2018_714_1_MG_IN_UD_411,wastewater,DTU_2018_714_1_MG_IN_UD_411,DTU_2018_714_1_MG_IN_UD_411,,,,,Built/ Engineered/ Industrial
