run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR29088061,SRP463881,Reactivation of subsurface microorganisms,SRX24612229,Shotgun metagenome sequences of acetogenic enrichments from deep subsurface granitoid,Shotgun metagenome sequences of acetogenic enrichments from deep subsurface granitoid,subsurface metagenome,WGS,PAIRED,SRS21349479,,PRJNA1021524,Illumina NovaSeq 6000,11923968828,AA enrichment,India:Deccan traps (Koyna-Warna region),17.299028 N 73.738500 E,,,Terrestrial/ soil
SRR29088062,SRP463881,Reactivation of subsurface microorganisms,SRX24612228,Shotgun metagenome sequences of ​sulfate-reducing enrichments from deep subsurface granitoid,Shotgun metagenome sequences of ​sulfate-reducing enrichments from deep subsurface granitoid,subsurface metagenome,WGS,PAIRED,SRS21349477,,PRJNA1021524,Illumina NovaSeq 6000,17106527966,SR enrichment,India:IIT Kharagpur,22.3149 N 87.3105 E,,,Terrestrial/ soil
SRR29088063,SRP463881,Reactivation of subsurface microorganisms,SRX24612227,Shotgun metagenome sequences of ​iron-reducing enrichments from deep subsurface granitoid,Shotgun metagenome sequences of ​iron-reducing enrichments from deep subsurface granitoid,subsurface metagenome,WGS,PAIRED,SRS21349478,,PRJNA1021524,Illumina NovaSeq 6000,17769465478,IR enrichment,India:IIT Kharagpur,22.3149 N 87.3105 E,,,Terrestrial/ soil
SRR29088064,SRP463881,Reactivation of subsurface microorganisms,SRX24612226,Shotgun metagenome sequences of ​nitrate-reducing enrichments from deep subsurface granitoid,Shotgun metagenome sequences of ​nitrate-reducing enrichments from deep subsurface granitoid,subsurface metagenome,WGS,PAIRED,SRS21349476,,PRJNA1021524,Illumina NovaSeq 6000,12793117552,NR enrichment,India:IIT Kharagpur,22.3149 N 87.3105 E,,,Terrestrial/ soil
